hour;France[Euro/MWh]
1;41.45
2;39.25
3;38.19
4;38.03
5;38.08
6;39.07
7;49.49
8;55.95
9;54.92
10;55.19
11;54.83
12;54.63
13;56.26
14;57.63
15;57.63
16;59.76
17;57.44
18;62
19;62.47
20;62.47
21;59.02
22;54.96
23;54.5
24;51.25
25;42.23
26;41.44
27;41.71
28;42.38
29;43.02
30;44.2
31;50.24
32;58
33;61.89
34;63
35;62.96
36;63.01
37;62.78
38;62.52
39;62.01
40;61.89
41;61.96
42;62
43;63.17
44;62.93
45;63.03
46;62.69
47;65
48;61.45
49;48
50;46.23
51;45.8
52;44.99
53;45.44
54;46.26
55;52.55
56;59.98
57;62.64
58;66.03
59;63.3
60;63.49
61;62.83
62;62.5
63;62.01
64;61.14
65;60.5
66;60.83
67;60.83
68;60.38
69;59.93
70;58.59
71;62.01
72;58.68
73;54.08
74;45.48
75;44.31
76;42.99
77;43.11
78;44.65
79;51.89
80;57.71
81;61.21
82;61.21
83;61.85
84;62.09
85;61.89
86;61.66
87;58.79
88;55.71
89;53.39
90;62.12
91;61.99
92;61.75
93;59.91
94;53.79
95;61.63
96;59.94
97;48.39
98;42.98
99;42.06
100;41.83
101;42
102;41.92
103;49.1
104;55.01
105;56.6
106;59.68
107;59.88
108;59.31
109;56.74
110;53
111;51.05
112;48.56
113;47.37
114;51.86
115;58.79
116;58.4
117;51.82
118;50.57
119;60.32
120;57.38
121;47.71
122;45.03
123;41.02
124;40.86
125;39.46
126;38.23
127;39.53
128;41.4
129;43.49
130;42.94
131;38.94
132;42.89
133;44.19
134;42.33
135;37
136;38.26
137;35.96
138;44.48
139;45.05
140;54.98
141;50.04
142;46.95
143;56.34
144;55.93
145;43.62
146;36.98
147;33.93
148;32.01
149;30.33
150;31.43
151;30.69
152;32.69
153;33.71
154;32.75
155;29.88
156;29.39
157;29.34
158;29.82
159;27.47
160;22.64
161;27.43
162;29.55
163;43.71
164;50.17
165;50.1
166;50
167;58.55
168;57.21
169;61.4
170;47.01
171;42.27
172;40.94
173;41.32
174;42.87
175;50.14
176;53.52
177;54.71
178;58.94
179;58.15
180;58.07
181;56.31
182;57.7
183;57.23
184;52.41
185;52.54
186;52.02
187;52.95
188;59.41
189;53.44
190;51.94
191;52.59
192;49.37
193;43.98
194;43.3
195;44.78
196;43.28
197;41.7
198;44.54
199;50.61
200;56.82
201;58.34
202;58.9
203;58.41
204;58.26
205;57.32
206;57.02
207;55.97
208;55.15
209;54.37
210;56
211;57.05
212;57.5
213;56.08
214;54.75
215;55.99
216;50.69
217;45.5
218;45.51
219;43.66
220;43.33
221;43.39
222;43.8
223;51.44
224;56.99
225;57.51
226;57.75
227;56.94
228;56.69
229;55.99
230;54.99
231;53.67
232;52.38
233;52.66
234;55.23
235;56.91
236;57.77
237;56.85
238;55.54
239;55.65
240;51.58
241;48.77
242;46.1
243;47.51
244;45.02
245;44.43
246;44.49
247;51.05
248;57.94
249;58.9
250;56.97
251;58.31
252;58.3
253;56.51
254;54.92
255;53.93
256;53.35
257;53.46
258;55.44
259;56.32
260;58.64
261;57.07
262;55.92
263;54.85
264;51.16
265;49.32
266;43.91
267;43.14
268;43.21
269;43.5
270;44.17
271;51.79
272;57.69
273;57.98
274;56.53
275;55
276;54.01
277;51.81
278;49.04
279;46.76
280;47.6
281;50.06
282;53.71
283;55.85
284;57.96
285;56.37
286;55.1
287;57.75
288;52.45
289;52.77
290;50
291;48.19
292;45.3
293;43.42
294;42.49
295;43.06
296;48.18
297;51.25
298;51.22
299;49.29
300;46.02
301;46.92
302;44.2
303;43.64
304;42.29
305;42.48
306;48.72
307;53.97
308;55.34
309;57.55
310;54.98
311;58.12
312;56.24
313;49.82
314;47.64
315;45.01
316;42.41
317;42.29
318;42.4
319;41.49
320;42.24
321;42.25
322;43.36
323;42.14
324;43.09
325;45.23
326;42.99
327;40.7
328;41.11
329;42.3
330;42.03
331;51.72
332;54.25
333;56.05
334;56.23
335;58.98
336;56.97
337;50.58
338;43.85
339;42.03
340;41.64
341;39.54
342;43.07
343;53.05
344;58.09
345;59.4
346;58.87
347;57.43
348;58.45
349;56.15
350;55.35
351;55.46
352;55.41
353;55.91
354;57.36
355;59.34
356;62.82
357;59.22
358;56.92
359;57.08
360;51.84
361;46.52
362;44.44
363;42.54
364;42.35
365;42.6
366;43.8
367;52.2
368;57.96
369;59.44
370;57.97
371;56.05
372;56
373;53.79
374;51.99
375;52.34
376;52.48
377;52.42
378;53.76
379;56.18
380;58.56
381;56.94
382;55.21
383;54.44
384;51.32
385;45.81
386;42.23
387;41.91
388;41
389;40.89
390;41.28
391;48.93
392;53.68
393;55.93
394;54.58
395;53.68
396;54.16
397;52.69
398;50.62
399;49.01
400;49.67
401;52.06
402;54.14
403;59.4
404;57.97
405;56.87
406;55.14
407;54.17
408;50.08
409;44.35
410;42.6
411;41.7
412;41.7
413;41.39
414;43.05
415;51.05
416;56.32
417;57.98
418;55.95
419;54.08
420;53.03
421;52.6
422;51.29
423;51.74
424;52.51
425;52.73
426;55.26
427;57.99
428;59.38
429;58.47
430;57.53
431;56.15
432;51.9
433;48.82
434;45.6
435;44.49
436;44.05
437;44.93
438;45.04
439;52.47
440;57.61
441;57.93
442;57.98
443;57.06
444;56.69
445;55.1
446;54.07
447;54.03
448;55.06
449;56.07
450;57.91
451;58.5
452;58.95
453;57.98
454;56.1
455;56.02
456;52.57
457;50.33
458;45.58
459;44.73
460;45.52
461;44.67
462;44.4
463;44.06
464;46.69
465;52.52
466;55.04
467;55.09
468;55.18
469;54.72
470;50.46
471;45
472;45.1
473;47.09
474;53.12
475;55.02
476;55.22
477;54.96
478;54.68
479;57.48
480;52.2
481;51.79
482;46.75
483;44.25
484;43.87
485;42.85
486;42.2
487;42.07
488;42.4
489;43.61
490;44.74
491;44.5
492;44.78
493;43.58
494;41.98
495;41.25
496;41.4
497;42.87
498;45.84
499;47.96
500;55.14
501;56.95
502;57.21
503;59.41
504;56.3
505;52.18
506;48.59
507;45.8
508;44.5
509;44.68
510;47.45
511;53.06
512;58.95
513;59.94
514;59.05
515;57.99
516;57.98
517;57.27
518;56.86
519;55.26
520;55.2
521;55.82
522;57.91
523;59.91
524;61.45
525;60.1
526;59.02
527;57.98
528;54.57
529;50.88
530;47.47
531;46.55
532;45.09
533;45.57
534;47.42
535;53.97
536;60.63
537;62.9
538;61.32
539;59.57
540;61.37
541;59.99
542;58.95
543;58.91
544;57.67
545;58.19
546;63
547;64.17
548;65.51
549;64.22
550;63.89
551;61.02
552;55.37
553;53.64
554;50.66
555;49.08
556;48.7
557;48.23
558;49.79
559;55.71
560;62.96
561;65
562;65.07
563;65
564;63.2
565;59.74
566;58.87
567;57.92
568;58.54
569;62.85
570;67
571;65.8
572;66.9
573;65.45
574;64.37
575;62.02
576;55.21
577;50.02
578;48.4
579;47.5
580;46.75
581;46.35
582;47.34
583;52.28
584;60.77
585;64.08
586;64.21
587;65.76
588;65.65
589;63
590;63.78
591;64.07
592;64.32
593;63.55
594;67.09
595;67.19
596;69.3
597;66.3
598;64.74
599;65.7
600;62.7
601;49.56
602;46.51
603;45
604;45
605;44.72
606;47.02
607;52.51
608;60.91
609;62.01
610;61.09
611;64.37
612;63.36
613;59.37
614;57.6
615;58.53
616;56.96
617;56.55
618;62.4
619;63.12
620;62.46
621;62.21
622;58.06
623;57
624;53.11
625;51.91
626;47.75
627;43.54
628;42.95
629;43.04
630;42.61
631;44.48
632;47.08
633;50.83
634;53.59
635;49.06
636;46.8
637;45.28
638;43.02
639;42.09
640;41.81
641;42.4
642;45.11
643;50
644;52.88
645;52.84
646;53.09
647;53.76
648;50.59
649;47.4
650;42.78
651;41.63
652;42.21
653;42.5
654;42.5
655;42.09
656;40.49
657;40.55
658;40.59
659;41.57
660;40.57
661;40.61
662;40.98
663;36.76
664;37.4
665;41.53
666;42.01
667;50.73
668;55.76
669;57.43
670;57.94
671;57.22
672;53.65
673;49.87
674;46.58
675;45.04
676;44.26
677;44.81
678;45.04
679;52.56
680;59.21
681;60.99
682;61.08
683;57.36
684;57.06
685;55.91
686;54.47
687;53.55
688;54.54
689;55.94
690;61.45
691;62.8
692;64.63
693;63.46
694;62.06
695;60.37
696;51.46
697;47.02
698;45.98
699;45.25
700;44.34
701;44.03
702;46.07
703;51.91
704;62.48
705;65.77
706;65.9
707;62.03
708;60.73
709;56.65
710;54.46
711;52.87
712;53.1
713;54.02
714;61.01
715;65.06
716;65.96
717;65.32
718;65.32
719;63.68
720;52.93
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
