DateTime;Real-time Upscaled Measurement [MW]
01/09/2018 00:00;0
01/09/2018 00:15;0
01/09/2018 00:30;0
01/09/2018 00:45;0
01/09/2018 01:00;0
01/09/2018 01:15;0
01/09/2018 01:30;0
01/09/2018 01:45;0
01/09/2018 02:00;0
01/09/2018 02:15;0
01/09/2018 02:30;0
01/09/2018 02:45;0
01/09/2018 03:00;0
01/09/2018 03:15;0
01/09/2018 03:30;0
01/09/2018 03:45;0
01/09/2018 04:00;0
01/09/2018 04:15;0
01/09/2018 04:30;0
01/09/2018 04:45;0
01/09/2018 05:00;0
01/09/2018 05:15;0
01/09/2018 05:30;0
01/09/2018 05:45;0
01/09/2018 06:00;0
01/09/2018 06:15;0
01/09/2018 06:30;0
01/09/2018 06:45;0
01/09/2018 07:00;0
01/09/2018 07:15;0.22
01/09/2018 07:30;0.39
01/09/2018 07:45;0.76
01/09/2018 08:00;0.91
01/09/2018 08:15;1.28
01/09/2018 08:30;1.69
01/09/2018 08:45;2.06
01/09/2018 09:00;2.55
01/09/2018 09:15;2.98
01/09/2018 09:30;3.43
01/09/2018 09:45;3.77
01/09/2018 10:00;4.19
01/09/2018 10:15;4.58
01/09/2018 10:30;4.79
01/09/2018 10:45;5.18
01/09/2018 11:00;5.46
01/09/2018 11:15;5.72
01/09/2018 11:30;5.82
01/09/2018 11:45;6.15
01/09/2018 12:00;6.34
01/09/2018 12:15;6.38
01/09/2018 12:30;6.25
01/09/2018 12:45;5.29
01/09/2018 13:00;6.94
01/09/2018 13:15;5.44
01/09/2018 13:30;6.97
01/09/2018 13:45;6.92
01/09/2018 14:00;4.51
01/09/2018 14:15;4.48
01/09/2018 14:30;7.13
01/09/2018 14:45;7.63
01/09/2018 15:00;7.04
01/09/2018 15:15;4.28
01/09/2018 15:30;4.87
01/09/2018 15:45;2.22
01/09/2018 16:00;5.36
01/09/2018 16:15;4.62
01/09/2018 16:30;0.53
01/09/2018 16:45;3.97
01/09/2018 17:00;4.34
01/09/2018 17:15;3.58
01/09/2018 17:30;3.18
01/09/2018 17:45;2.72
01/09/2018 18:00;2.44
01/09/2018 18:15;2
01/09/2018 18:30;1.6
01/09/2018 18:45;1.27
01/09/2018 19:00;0.92
01/09/2018 19:15;0.63
01/09/2018 19:30;0.36
01/09/2018 19:45;0.21
01/09/2018 20:00;0.11
01/09/2018 20:15;0.02
01/09/2018 20:30;0
01/09/2018 20:45;0
01/09/2018 21:00;0
01/09/2018 21:15;0
01/09/2018 21:30;0
01/09/2018 21:45;0
01/09/2018 22:00;0
01/09/2018 22:15;0
01/09/2018 22:30;0
01/09/2018 22:45;0
01/09/2018 23:00;0
01/09/2018 23:15;0
01/09/2018 23:30;0
01/09/2018 23:45;0
02/09/2018 00:00;0
02/09/2018 00:15;0
02/09/2018 00:30;0
02/09/2018 00:45;0
02/09/2018 01:00;0
02/09/2018 01:15;0
02/09/2018 01:30;0
02/09/2018 01:45;0
02/09/2018 02:00;0
02/09/2018 02:15;0
02/09/2018 02:30;0
02/09/2018 02:45;0
02/09/2018 03:00;0
02/09/2018 03:15;0
02/09/2018 03:30;0
02/09/2018 03:45;0
02/09/2018 04:00;0
02/09/2018 04:15;0
02/09/2018 04:30;0
02/09/2018 04:45;0
02/09/2018 05:00;0
02/09/2018 05:15;0
02/09/2018 05:30;0
02/09/2018 05:45;0
02/09/2018 06:00;0
02/09/2018 06:15;0
02/09/2018 06:30;0
02/09/2018 06:45;0
02/09/2018 07:00;0.01
02/09/2018 07:15;0.26
02/09/2018 07:30;0.38
02/09/2018 07:45;0.62
02/09/2018 08:00;1.12
02/09/2018 08:15;1.94
02/09/2018 08:30;1.53
02/09/2018 08:45;2.11
