hour;Measured & upscaled [MW]
02/03/2018 00:00;1006.37
02/03/2018 00:15;957.23
02/03/2018 00:30;958.46
02/03/2018 00:45;938.59
02/03/2018 01:00;963.89
02/03/2018 01:15;898.09
02/03/2018 01:30;879.46
02/03/2018 01:45;856.31
02/03/2018 02:00;814.9
02/03/2018 02:15;814.23
02/03/2018 02:30;845.14
02/03/2018 02:45;852.02
02/03/2018 03:00;846.43
02/03/2018 03:15;689.57
02/03/2018 03:30;690.59
02/03/2018 03:45;768.4
02/03/2018 04:00;835.23
02/03/2018 04:15;785.08
02/03/2018 04:30;791.94
02/03/2018 04:45;835.72
02/03/2018 05:00;802.88
02/03/2018 05:15;804.48
02/03/2018 05:30;815.62
02/03/2018 05:45;772.08
02/03/2018 06:00;727.22
02/03/2018 06:15;720.36
02/03/2018 06:30;728.16
02/03/2018 06:45;743.34
02/03/2018 07:00;749.92
02/03/2018 07:15;759.85
02/03/2018 07:30;770.82
02/03/2018 07:45;728.91
02/03/2018 08:00;724.76
02/03/2018 08:15;781.43
02/03/2018 08:30;825.06
02/03/2018 08:45;832.34
02/03/2018 09:00;840
02/03/2018 09:15;812.39
02/03/2018 09:30;751.57
02/03/2018 09:45;724.7
02/03/2018 10:00;657.97
02/03/2018 10:15;615.77
02/03/2018 10:30;594.89
02/03/2018 10:45;566.15
02/03/2018 11:00;512.29
02/03/2018 11:15;477.73
02/03/2018 11:30;420.68
02/03/2018 11:45;396.11
02/03/2018 12:00;372.62
02/03/2018 12:15;354.58
02/03/2018 12:30;335.56
02/03/2018 12:45;334.5
02/03/2018 13:00;330.14
02/03/2018 13:15;318.64
02/03/2018 13:30;301.04
02/03/2018 13:45;272.58
02/03/2018 14:00;254.26
02/03/2018 14:15;237
02/03/2018 14:30;229.47
02/03/2018 14:45;222.15
02/03/2018 15:00;212.73
02/03/2018 15:15;206.04
02/03/2018 15:30;194.66
02/03/2018 15:45;194.69
02/03/2018 16:00;168.79
02/03/2018 16:15;162.77
02/03/2018 16:30;168.82
02/03/2018 16:45;173.01
02/03/2018 17:00;178.91
02/03/2018 17:15;183.54
02/03/2018 17:30;181.49
02/03/2018 17:45;180.62
02/03/2018 18:00;184.09
02/03/2018 18:15;190.37
02/03/2018 18:30;211.15
02/03/2018 18:45;209.57
02/03/2018 19:00;208.76
02/03/2018 19:15;203.96
02/03/2018 19:30;192.32
02/03/2018 19:45;176.94
02/03/2018 20:00;162.37
02/03/2018 20:15;144.2
02/03/2018 20:30;128.28
02/03/2018 20:45;115.48
02/03/2018 21:00;87.39
02/03/2018 21:15;77.95
02/03/2018 21:30;74.83
02/03/2018 21:45;72.33
02/03/2018 22:00;67.08
02/03/2018 22:15;63.1
02/03/2018 22:30;59.76
02/03/2018 22:45;53.96
02/03/2018 23:00;55.31
02/03/2018 23:15;60.03
02/03/2018 23:30;59.86
02/03/2018 23:45;59.21
03/03/2018 00:00;66.89
03/03/2018 00:15;68.75
03/03/2018 00:30;63.96
03/03/2018 00:45;57.56
03/03/2018 01:00;52.09
03/03/2018 01:15;39.82
03/03/2018 01:30;33.54
03/03/2018 01:45;32.88
03/03/2018 02:00;35.93
03/03/2018 02:15;36.04
03/03/2018 02:30;36.85
03/03/2018 02:45;35.52
03/03/2018 03:00;30.96
03/03/2018 03:15;30.59
03/03/2018 03:30;29.68
03/03/2018 03:45;29.92
03/03/2018 04:00;29.84
03/03/2018 04:15;29.51
03/03/2018 04:30;29.64
03/03/2018 04:45;27.69
03/03/2018 05:00;30.54
03/03/2018 05:15;30.93
03/03/2018 05:30;31.6
03/03/2018 05:45;32.78
03/03/2018 06:00;32.72
03/03/2018 06:15;34.89
03/03/2018 06:30;35.58
03/03/2018 06:45;37.38
03/03/2018 07:00;38.85
03/03/2018 07:15;40.42
03/03/2018 07:30;43.47
03/03/2018 07:45;42.43
03/03/2018 08:00;42.49
03/03/2018 08:15;48.23
03/03/2018 08:30;48.2
03/03/2018 08:45;41.96
03/03/2018 09:00;45.55
03/03/2018 09:15;43.75
03/03/2018 09:30;36.93
03/03/2018 09:45;32.34
03/03/2018 10:00;31.8
03/03/2018 10:15;28.98
03/03/2018 10:30;30.46
03/03/2018 10:45;33.81
03/03/2018 11:00;22.49
03/03/2018 11:15;18.45
03/03/2018 11:30;16.09
03/03/2018 11:45;15.55
03/03/2018 12:00;17.2
03/03/2018 12:15;19.95
03/03/2018 12:30;18.8
03/03/2018 12:45;16.28
03/03/2018 13:00;19.33
03/03/2018 13:15;22.85
03/03/2018 13:30;27.03
03/03/2018 13:45;36.99
03/03/2018 14:00;49.03
03/03/2018 14:15;57.04
03/03/2018 14:30;68.84
03/03/2018 14:45;83.29
03/03/2018 15:00;108.3
03/03/2018 15:15;122.44
03/03/2018 15:30;132.17
03/03/2018 15:45;122.04
03/03/2018 16:00;128.26
03/03/2018 16:15;162.57
03/03/2018 16:30;186.01
03/03/2018 16:45;178.6
03/03/2018 17:00;212.24
03/03/2018 17:15;221.15
03/03/2018 17:30;233.75
03/03/2018 17:45;248.97
03/03/2018 18:00;260.62
03/03/2018 18:15;250.83
03/03/2018 18:30;243.42
03/03/2018 18:45;249.69
03/03/2018 19:00;258.08
03/03/2018 19:15;251.89
03/03/2018 19:30;271.54
03/03/2018 19:45;277.96
03/03/2018 20:00;273.41
03/03/2018 20:15;288.94
03/03/2018 20:30;239.13
03/03/2018 20:45;227.58
03/03/2018 21:00;218.5
03/03/2018 21:15;208.16
03/03/2018 21:30;197.57
03/03/2018 21:45;211.07
03/03/2018 22:00;218.26
03/03/2018 22:15;234.13
03/03/2018 22:30;251
03/03/2018 22:45;255.85
03/03/2018 23:00;264.1
03/03/2018 23:15;270.74
03/03/2018 23:30;275.94
03/03/2018 23:45;303.81
04/03/2018 00:00;306.61
04/03/2018 00:15;303.63
04/03/2018 00:30;303.39
04/03/2018 00:45;319.31
04/03/2018 01:00;319.4
04/03/2018 01:15;279.34
04/03/2018 01:30;293.03
04/03/2018 01:45;316.63
04/03/2018 02:00;332.9
04/03/2018 02:15;315.51
04/03/2018 02:30;338.05
04/03/2018 02:45;329.23
04/03/2018 03:00;338.05
04/03/2018 03:15;378.05
04/03/2018 03:30;404.03
04/03/2018 03:45;459.26
04/03/2018 04:00;476.33
04/03/2018 04:15;462.8
04/03/2018 04:30;465.3
04/03/2018 04:45;448.94
04/03/2018 05:00;472.77
04/03/2018 05:15;493.5
04/03/2018 05:30;541.37
04/03/2018 05:45;513.52
04/03/2018 06:00;500.64
04/03/2018 06:15;473.77
04/03/2018 06:30;453.04
04/03/2018 06:45;462.77
04/03/2018 07:00;437.09
04/03/2018 07:15;426.81
04/03/2018 07:30;435.82
04/03/2018 07:45;416.97
04/03/2018 08:00;445.75
04/03/2018 08:15;442.63
04/03/2018 08:30;436.7
04/03/2018 08:45;405.57
04/03/2018 09:00;365.83
04/03/2018 09:15;323.95
04/03/2018 09:30;287.26
04/03/2018 09:45;265.92
04/03/2018 10:00;224.06
04/03/2018 10:15;165.29
04/03/2018 10:30;145.94
04/03/2018 10:45;137.4
04/03/2018 11:00;120.23
04/03/2018 11:15;119.54
04/03/2018 11:30;133.94
04/03/2018 11:45;126.77
04/03/2018 12:00;114.68
04/03/2018 12:15;104.01
04/03/2018 12:30;105.23
04/03/2018 12:45;107.03
04/03/2018 13:00;100.12
04/03/2018 13:15;101.39
04/03/2018 13:30;87.11
04/03/2018 13:45;87.82
04/03/2018 14:00;92.09
04/03/2018 14:15;113.25
04/03/2018 14:30;124.55
04/03/2018 14:45;143.45
04/03/2018 15:00;177.96
04/03/2018 15:15;176.05
04/03/2018 15:30;174.32
04/03/2018 15:45;183.36
04/03/2018 16:00;188.68
04/03/2018 16:15;200.27
04/03/2018 16:30;169.15
04/03/2018 16:45;181.47
04/03/2018 17:00;168.89
04/03/2018 17:15;219.38
04/03/2018 17:30;262.03
04/03/2018 17:45;363.49
04/03/2018 18:00;411.89
04/03/2018 18:15;449.23
04/03/2018 18:30;453.77
04/03/2018 18:45;513.75
04/03/2018 19:00;536.31
04/03/2018 19:15;586.86
04/03/2018 19:30;635.9
04/03/2018 19:45;691.39
04/03/2018 20:00;677.73
04/03/2018 20:15;648.69
04/03/2018 20:30;717.36
04/03/2018 20:45;709.87
04/03/2018 21:00;796.84
04/03/2018 21:15;800.31
04/03/2018 21:30;755.65
04/03/2018 21:45;740.67
04/03/2018 22:00;735.58
04/03/2018 22:15;701.61
04/03/2018 22:30;657.74
04/03/2018 22:45;624.43
04/03/2018 23:00;635.03
04/03/2018 23:15;661.15
04/03/2018 23:30;668.76
04/03/2018 23:45;635.78
05/03/2018 00:00;640.95
05/03/2018 00:15;632.43
05/03/2018 00:30;629.7
05/03/2018 00:45;659.23
05/03/2018 01:00;683.18
05/03/2018 01:15;661.69
05/03/2018 01:30;640.77
05/03/2018 01:45;619.12
05/03/2018 02:00;616.57
05/03/2018 02:15;588.59
05/03/2018 02:30;577.14
05/03/2018 02:45;565.01
05/03/2018 03:00;544.16
05/03/2018 03:15;496.25
05/03/2018 03:30;481.51
05/03/2018 03:45;518.37
05/03/2018 04:00;535.39
05/03/2018 04:15;516.7
05/03/2018 04:30;555.86
05/03/2018 04:45;564.52
05/03/2018 05:00;511.75
05/03/2018 05:15;473.55
05/03/2018 05:30;450.37
05/03/2018 05:45;433.3
05/03/2018 06:00;418.02
05/03/2018 06:15;437.73
05/03/2018 06:30;453.53
