DateTime,Most recent forecast [MW],Day-Ahead forecast [MW],Week-Ahead forecast [MW],Real-time Upscaled Measurement [MW],Corrected Upscaled Measurement [MW],Monitored Capacity [MWp]
01/09/2018 00:00,0,0,0,0,,9.97
01/09/2018 00:15,0,0,0,0,,9.97
01/09/2018 00:30,0,0,0,0,,9.97
01/09/2018 00:45,0,0,0,0,,9.97
01/09/2018 01:00,0,0,0,0,,9.97
01/09/2018 01:15,0,0,0,0,,9.97
01/09/2018 01:30,0,0,0,0,,9.97
01/09/2018 01:45,0,0,0,0,,9.97
01/09/2018 02:00,0,0,0,0,,9.97
01/09/2018 02:15,0,0,0,0,,9.97
01/09/2018 02:30,0,0,0,0,,9.97
01/09/2018 02:45,0,0,0,0,,9.97
01/09/2018 03:00,0,0,0,0,,9.97
01/09/2018 03:15,0,0,0,0,,9.97
01/09/2018 03:30,0,0,0,0,0,9.97
01/09/2018 03:45,0,0,0,0,0,9.97
01/09/2018 04:00,0,0,0,0,0,9.97
01/09/2018 04:15,0,0,0,0,0,9.97
01/09/2018 04:30,0,0,0,0,0,9.97
01/09/2018 04:45,0,0,0,0,,9.97
01/09/2018 05:00,0,0,0,0,,9.97
01/09/2018 05:15,0,0,0,0,,9.97
01/09/2018 05:30,0,0,0,0,,9.97
01/09/2018 05:45,0,0,0,0,,9.97
01/09/2018 06:00,0,0,0,0,,9.97
01/09/2018 06:15,0,0,0,0,,9.97
01/09/2018 06:30,0,0,0,0,,9.97
01/09/2018 06:45,0,0,0,0,,9.97
01/09/2018 07:00,0.05,0.06,0.04,0,,9.97
01/09/2018 07:15,0.15,0.16,0.13,0.22,,9.97
01/09/2018 07:30,0.28,0.3,0.23,0.39,,9.97
01/09/2018 07:45,0.52,0.53,0.4,0.76,,9.97
01/09/2018 08:00,0.86,0.84,0.63,0.91,,9.97
01/09/2018 08:15,1.24,1.21,0.85,1.28,,9.97
01/09/2018 08:30,1.67,1.63,1.07,1.69,,9.97
01/09/2018 08:45,2.1,2.05,1.3,2.06,,9.97
01/09/2018 09:00,2.56,2.51,1.54,2.55,,9.97
01/09/2018 09:15,3.04,2.97,1.78,2.98,,9.97
01/09/2018 09:30,3.49,3.43,2.02,3.43,,9.97
01/09/2018 09:45,3.92,3.85,2.26,3.77,,9.97
01/09/2018 10:00,4.32,4.26,2.51,4.19,,9.97
01/09/2018 10:15,4.71,4.65,2.75,4.58,,9.97
01/09/2018 10:30,5.04,4.99,3,4.79,,9.97
01/09/2018 10:45,5.34,5.29,3.22,5.18,,9.97
01/09/2018 11:00,5.34,5.54,3.39,5.46,5.36,9.97
01/09/2018 11:15,5.57,5.76,3.55,5.72,5.61,9.97
01/09/2018 11:30,5.8,5.98,3.72,5.82,5.8,9.97
01/09/2018 11:45,6,6.18,3.85,6.15,6,9.97
01/09/2018 12:00,6.17,6.35,3.96,6.34,6.15,9.97
01/09/2018 12:15,6.33,6.5,4.04,6.38,6.31,9.97
01/09/2018 12:30,6.45,6.61,4.11,6.25,6.25,9.97
01/09/2018 12:45,6.52,6.68,4.17,5.29,5.76,9.97
01/09/2018 13:00,6.56,6.72,4.21,6.94,6.23,9.97
01/09/2018 13:15,6.58,6.73,4.23,5.44,5.69,9.97
01/09/2018 13:30,6.57,6.72,4.24,6.97,5.52,9.97
01/09/2018 13:45,6.54,6.69,4.24,6.92,5.46,9.97
01/09/2018 14:00,6.02,6.62,4.22,4.51,5.28,9.97
01/09/2018 14:15,5.95,6.53,4.19,4.48,4.3,9.97
01/09/2018 14:30,5.86,6.42,4.15,7.13,4.96,9.97
01/09/2018 14:45,5.74,6.28,4.09,7.63,5.37,9.97
01/09/2018 15:00,5.6,6.11,4.02,7.04,5.1,9.97
01/09/2018 15:15,5.44,5.92,3.92,4.28,4.58,9.97
01/09/2018 15:30,5.27,5.73,3.79,4.87,5.15,9.97
01/09/2018 15:45,5.11,5.54,3.64,2.22,5.14,9.97
01/09/2018 16:00,4.67,5.34,3.49,5.36,4.91,9.97
01/09/2018 16:15,4.5,5.1,3.34,4.62,4.79,9.97
01/09/2018 16:30,4.3,4.83,3.14,0.53,4.38,9.97
01/09/2018 16:45,4.06,4.52,2.91,3.97,4.32,9.97
01/09/2018 17:00,3.8,4.18,2.67,4.34,4,9.97
01/09/2018 17:15,3.51,3.82,2.43,3.58,3.59,9.97
01/09/2018 17:30,3.19,3.43,2.17,3.18,3.32,9.97
01/09/2018 17:45,2.85,3.03,1.92,2.72,2.93,9.97
01/09/2018 18:00,2.47,2.6,1.68,2.44,2.47,9.97
01/09/2018 18:15,2.08,2.16,1.44,2,1.99,9.97
01/09/2018 18:30,1.71,1.78,1.21,1.6,1.59,9.97
01/09/2018 18:45,1.34,1.38,0.99,1.27,1.22,9.97
01/09/2018 19:00,0.98,1.01,0.76,0.92,0.92,9.97
01/09/2018 19:15,0.66,0.68,0.54,0.63,0.62,9.97
01/09/2018 19:30,0.38,0.38,0.33,0.36,0.38,9.97
01/09/2018 19:45,0.2,0.21,0.19,0.21,0.19,9.97
01/09/2018 20:00,0.1,0.1,0.09,0.11,,9.97
01/09/2018 20:15,0.03,0.03,0.02,0.02,,9.97
01/09/2018 20:30,0,0,0,0,0,9.97
01/09/2018 20:45,0,0,0,0,0,9.97
01/09/2018 21:00,0,0,0,0,,9.97
01/09/2018 21:15,0,0,0,0,,9.97
01/09/2018 21:30,0,0,0,0,,9.97
01/09/2018 21:45,0,0,0,0,,9.97
01/09/2018 22:00,0,0,0,0,,9.97
01/09/2018 22:15,0,0,0,0,,9.97
01/09/2018 22:30,0,0,0,0,,9.97
01/09/2018 22:45,0,0,0,0,0,9.97
01/09/2018 23:00,0,0,0,0,0,9.97
01/09/2018 23:15,0,0,0,0,0,9.97
01/09/2018 23:30,0,0,0,0,,9.97
01/09/2018 23:45,0,0,0,0,0,9.97
02/09/2018 00:00,0,0,0,0,0,9.97
02/09/2018 00:15,0,0,0,0,0,9.97
02/09/2018 00:30,0,0,0,0,0,9.97
02/09/2018 00:45,0,0,0,0,0,9.97
02/09/2018 01:00,0,0,0,0,0,9.97
02/09/2018 01:15,0,0,0,0,0,9.97
02/09/2018 01:30,0,0,0,0,0,9.97
02/09/2018 01:45,0,0,0,0,0,9.97
02/09/2018 02:00,0,0,0,0,0,9.97
02/09/2018 02:15,0,0,0,0,0,9.97
02/09/2018 02:30,0,0,0,0,0,9.97
02/09/2018 02:45,0,0,0,0,0,9.97
02/09/2018 03:00,0,0,0,0,0,9.97
02/09/2018 03:15,0,0,0,0,,9.97
02/09/2018 03:30,0,0,0,0,,9.97
02/09/2018 03:45,0,0,0,0,,9.97
02/09/2018 04:00,0,0,0,0,,9.97
02/09/2018 04:15,0,0,0,0,,9.97
02/09/2018 04:30,0,0,0,0,,9.97
02/09/2018 04:45,0,0,0,0,,9.97
02/09/2018 05:00,0,0,0,0,,9.97
02/09/2018 05:15,0,0,0,0,,9.97
02/09/2018 05:30,0,0,0,0,,9.97
02/09/2018 05:45,0,0,0,0,,9.97
02/09/2018 06:00,0,0,0,0,,9.97
02/09/2018 06:15,0,0,0,0,,9.97
02/09/2018 06:30,0,0,0,0,,9.97
02/09/2018 06:45,0,0,0,0,,9.97
02/09/2018 07:00,0.05,0.05,0.05,0.01,,9.97
02/09/2018 07:15,0.14,0.14,0.14,0.26,,9.97
02/09/2018 07:30,0.26,0.26,0.27,0.38,,9.97
02/09/2018 07:45,0.49,0.49,0.49,0.62,,9.97
02/09/2018 08:00,0.84,0.82,0.77,1.12,,9.97
02/09/2018 08:15,1.21,1.2,1.05,1.94,,9.97
02/09/2018 08:30,1.63,1.61,1.36,1.53,,9.97
02/09/2018 08:45,2.06,2.04,1.69,2.11,,9.97
02/09/2018 09:00,2.51,2.49,2.06,3.09,,9.97
02/09/2018 09:15,2.98,2.95,2.44,2.62,,9.97
02/09/2018 09:30,3.43,3.4,2.83,3.39,,9.97
02/09/2018 09:45,3.86,3.84,3.23,3.38,,9.97
02/09/2018 10:00,4.25,4.24,3.63,5.19,,9.97
02/09/2018 10:15,4.63,4.62,4.04,4.3,,9.97
02/09/2018 10:30,4.96,4.96,4.41,4.85,,9.97
02/09/2018 10:45,5.25,5.27,4.76,4.81,,9.97
02/09/2018 11:00,5.43,5.51,5.04,6.96,5.36,9.97
02/09/2018 11:15,5.65,5.73,5.33,2.14,5.61,9.97
02/09/2018 11:30,5.85,5.95,5.57,5.92,5.81,9.97
02/09/2018 11:45,6.04,6.15,5.75,6.2,6.02,9.97
02/09/2018 12:00,6.2,6.33,5.9,6.35,6.17,9.97
02/09/2018 12:15,6.33,6.47,6.04,6.48,6.22,9.97
02/09/2018 12:30,6.43,6.58,6.15,6.63,6.22,9.97
